location,property_type,bedrooms,bathrooms,area_sqft,age_years,floor,parking_spaces,metro_distance_km,clubhouse,swimming_pool,gym,security_rating,price_inr
Sector 67,Builder Floor,2,2,947,1,37,3,9.06,1,1,0,3,22553548
DLF Phase 1,Apartment,3,4,894,14,32,1,4.06,1,1,1,5,26468186
Sector 54,Apartment,4,5,3356,10,14,1,11.54,1,0,1,3,62472896
South City 1,Apartment,2,3,1904,23,1,2,1.57,1,0,1,1,29074800
DLF Phase 1,Apartment,2,2,1411,16,27,3,8.45,0,1,1,1,21308888
Sector 54,Penthouse,3,4,1980,15,24,3,9.39,1,0,0,2,37800869
Sector 85,Apartment,3,4,1828,14,22,2,3.18,1,1,0,1,32448138
Sector 85,Apartment,3,4,2086,22,14,3,12.41,1,0,1,3,33461854
New Gurgaon,Apartment,2,3,1377,2,8,1,9.27,1,1,1,2,29486298
Sector 83,Builder Floor,1,2,639,19,27,1,9.72,1,0,1,2,8987722
Sector 67,Apartment,3,4,1400,14,3,2,7.52,1,0,1,2,30446418
Golf Course Extension Road,Apartment,2,3,1277,23,33,3,13.65,0,1,1,3,35595887
DLF Phase 1,Apartment,4,5,2344,18,21,2,10.44,0,0,0,2,42579680
Sector 83,Apartment,1,2,487,12,32,4,5.79,0,0,1,4,13056485
DLF Phase 1,Apartment,3,3,1915,15,40,3,3.66,0,0,1,4,37327976
Sector 84,Apartment,1,2,531,22,41,2,1.16,1,0,1,3,12969572
Golf Course Road,Apartment,2,3,1218,11,44,1,2.56,1,0,1,5,42463423
DLF Phase 2,Apartment,3,4,1991,16,41,1,14.89,0,0,1,5,34522423
Sector 84,Apartment,3,4,2051,15,32,3,6.16,1,1,1,2,34580244
Golf Course Road,Apartment,1,2,535,8,24,1,13.49,1,0,1,3,30872987
Sector 70,Apartment,1,1,663,5,11,0,2.64,0,1,0,2,9316088
Sector 85,Builder Floor,2,2,1391,18,37,3,6.44,1,1,0,2,21819065
Golf Course Road,Builder Floor,4,4,2945,22,21,3,14.41,1,0,1,4,73472922
Sector 56,Apartment,3,3,1928,12,18,1,1.46,0,0,0,1,39796598
Sector 85,Apartment,1,2,684,20,11,3,8.95,0,1,0,3,12164971
Sector 57,Apartment,3,4,1623,23,27,0,13.8,1,1,1,1,29662419
Sohna Road,Builder Floor,3,4,2882,7,43,1,14.25,1,0,1,4,45479829
Sector 56,Builder Floor,4,4,2364,11,38,2,12.71,1,1,1,1,49431711
Sector 84,Apartment,5,5,3784,8,1,3,12.85,1,1,1,4,69766187
South City 1,Villa,2,2,1063,21,29,0,9.82,1,0,0,5,21590309
Golf Course Road,Apartment,2,2,1304,3,21,1,3.38,1,1,1,4,47271645
Sector 70,Apartment,2,3,1294,12,29,1,10.99,0,0,0,3,24345000
Palam Vihar,Builder Floor,4,5,2695,1,9,4,14.68,1,1,1,5,48104938
Palam Vihar,Villa,5,5,2406,2,7,2,7.94,1,0,1,2,50445106
Golf Course Road,Builder Floor,3,4,1963,4,38,2,3.98,0,0,1,3,62239329
Golf Course Extension Road,Builder Floor,2,2,1064,23,31,1,8.64,1,1,0,3,35630110
Sector 65,Apartment,3,3,2144,17,27,2,10.39,1,0,0,3,43395784
DLF Phase 3,Builder Floor,2,2,954,20,42,2,3.2,1,0,1,1,30565849
Sector 70,Apartment,2,2,1285,13,32,3,10.82,1,1,1,1,19859183
Palam Vihar,Villa,3,4,1788,24,5,1,8.85,0,0,1,2,29834694
Sector 89,Apartment,1,2,859,1,33,4,9.22,0,1,0,1,14727959
South City 1,Builder Floor,2,2,1512,14,15,2,4.66,1,0,1,3,30926654
Sector 83,Apartment,3,3,2376,7,5,1,2.41,1,1,0,4,44003945
Golf Course Extension Road,Builder Floor,1,2,491,15,20,1,9.39,1,0,1,2,21610898
Sohna Road,Apartment,2,3,1092,2,38,2,8.83,0,1,0,2,27951053
Sector 85,Builder Floor,2,2,1198,23,37,3,5.14,1,0,1,3,21333998
Sector 67,Apartment,4,4,3040,19,17,2,4.51,0,1,1,5,51714334
New Gurgaon,Apartment,4,4,2610,19,4,2,5.27,1,0,1,1,49074992
Sector 57,Apartment,1,1,495,22,21,1,7.4,0,0,1,5,4904859
Sector 56,Apartment,3,3,1503,4,34,1,14.62,1,0,0,3,26453119
New Gurgaon,Villa,2,3,1533,3,40,2,11.48,1,0,1,5,28927251
South City 1,Apartment,3,4,1971,22,5,2,12.79,1,0,1,3,41422604
Sector 57,Penthouse,4,4,2429,11,4,3,7.63,1,1,1,1,45507874
Sector 82,Apartment,4,4,2382,18,22,1,7.94,1,0,1,1,45419850
Sector 92,Apartment,3,3,2176,14,14,1,3.14,1,0,1,2,38737993
DLF Phase 2,Builder Floor,5,5,2261,24,4,1,10.84,1,1,1,5,45322337
Sector 67,Builder Floor,5,6,3036,12,8,3,6.38,1,1,1,5,63911769
DLF Phase 2,Apartment,4,5,2462,4,3,2,11.16,1,1,1,5,50829577
Sector 89,Apartment,3,3,1276,11,29,1,6.19,1,1,1,5,27707389
DLF Phase 2,Builder Floor,3,4,1712,18,26,1,1.72,1,0,1,4,32713652
DLF Phase 3,Apartment,3,3,2760,1,30,1,2.68,0,1,1,2,64272011
Golf Course Road,Penthouse,1,1,483,6,12,2,12.19,1,0,1,2,36346228
DLF Phase 3,Penthouse,2,3,1235,22,15,3,3.95,1,1,1,4,34288032
Sector 56,Builder Floor,3,3,927,4,41,4,4.04,1,1,1,5,27465645
Golf Course Road,Apartment,3,4,1741,19,2,2,13.95,1,1,1,4,57782481
South City 1,Builder Floor,4,4,1798,10,1,1,9.9,1,1,0,5,34784734
Sector 83,Apartment,1,1,550,17,28,2,1.8,1,1,0,4,10464428
Sector 84,Apartment,2,2,1319,17,40,3,2.24,0,1,0,2,26172303
Sector 89,Apartment,4,4,1769,6,35,1,4.16,1,0,1,4,38643116
DLF Phase 3,Apartment,3,4,1901,9,34,3,8.95,1,0,1,3,44705338
Sector 85,Villa,2,2,981,22,4,3,11.32,1,1,1,5,16878249
Golf Course Extension Road,Builder Floor,5,6,2065,19,18,2,4.19,1,0,1,4,58334346
Sector 57,Builder Floor,4,5,2950,13,12,2,13.07,1,1,0,5,50765585
Sector 92,Apartment,3,3,1396,19,21,2,1.73,0,1,1,1,26532912
Sector 65,Apartment,4,5,2162,19,10,2,3.19,1,0,1,5,40491962
DLF Phase 5,Apartment,3,3,1560,10,21,0,14.56,1,1,0,4,48889804
DLF Phase 3,Penthouse,4,5,2521,1,40,1,2.11,0,1,1,5,63979090
Sector 54,Apartment,4,5,2418,12,25,1,13.33,0,1,0,3,36945138
DLF Phase 4,Villa,2,2,1153,12,17,3,10.59,1,0,0,3,32953387
DLF Phase 5,Apartment,3,3,1502,8,6,2,1.19,0,1,1,4,48495583
DLF Phase 1,Apartment,1,2,562,16,14,2,7.31,0,1,1,4,13371742
Sector 85,Builder Floor,1,1,641,14,37,3,7.83,1,1,1,5,8434715
Sector 65,Apartment,4,4,2466,23,40,1,13.99,1,1,0,2,45545111
Sector 67,Villa,3,4,2271,21,40,2,6.37,1,1,0,3,44897970
Sector 57,Villa,4,5,2827,22,18,2,6.76,1,0,0,3,50836306
DLF Phase 2,Apartment,4,4,3019,20,30,1,1.78,1,1,0,1,54900346
DLF Phase 5,Apartment,5,6,3947,21,9,1,9.62,1,1,1,1,87358768
Sector 67,Apartment,4,4,2504,21,14,4,3.24,1,1,1,2,42845330
Sector 83,Villa,3,3,2158,15,17,3,1.26,1,1,1,3,39359095
Sector 83,Apartment,2,3,1293,24,34,0,14.95,1,1,1,4,24506072
DLF Phase 3,Builder Floor,2,2,1571,9,22,4,4.12,1,1,1,3,42650436
Palam Vihar,Builder Floor,3,4,1062,19,32,3,2.2,1,0,1,4,26539548
DLF Phase 4,Builder Floor,3,3,1667,11,12,1,10.52,1,0,1,4,46183443
Sector 54,Apartment,3,3,1972,4,16,1,12.34,1,1,1,2,38808441
South City 1,Builder Floor,3,3,2039,19,22,1,1.05,1,0,1,3,37535895
Sector 70,Villa,5,6,2987,16,38,2,1.67,1,0,1,5,53293688
DLF Phase 3,Apartment,4,5,1468,9,39,2,1.44,0,1,1,3,41363767
Sector 83,Apartment,3,3,1725,5,2,1,0.8,1,1,1,3,33528608
Palam Vihar,Penthouse,2,3,1428,20,8,2,9.93,1,1,1,1,21180859
Sector 82,Apartment,1,2,555,19,44,1,8.87,1,1,1,2,9529767
Sector 56,Villa,2,2,1225,5,1,1,9.98,1,0,1,5,25847872
Sector 57,Apartment,4,5,3473,11,41,2,7.63,1,0,0,5,67306814
Sector 54,Apartment,2,3,1147,20,40,1,12.28,1,1,0,5,18762997
Sector 83,Villa,3,4,1733,18,41,2,8.25,1,1,1,4,31672569
Sector 56,Apartment,3,3,1881,1,5,3,13.79,1,1,1,2,39020954
Sector 84,Apartment,2,2,1266,12,36,1,7.34,1,0,1,1,20767208
Sector 89,Apartment,2,3,1237,21,17,0,11.88,1,1,1,4,25222656
DLF Phase 2,Apartment,3,3,1965,19,41,1,6.17,0,1,0,5,35346117
South City 1,Apartment,3,4,1300,10,30,2,6.58,1,0,1,4,27092719
DLF Phase 2,Apartment,4,4,2332,14,15,2,12.75,1,0,0,4,42377320
Golf Course Road,Penthouse,4,5,1712,12,20,2,1.7,0,1,1,5,64837851
Sector 89,Apartment,3,3,1823,2,36,2,8.52,1,0,1,5,35881948
Sohna Road,Builder Floor,4,5,2738,13,2,1,10.92,1,0,1,1,45656096
DLF Phase 3,Apartment,3,3,1741,7,4,1,11.28,1,0,1,2,48141882
Sector 70,Builder Floor,5,6,2337,8,24,1,8.91,0,0,1,3,49674381
Sector 83,Apartment,2,2,1079,14,42,2,6.78,0,0,1,3,20575621
DLF Phase 1,Penthouse,3,3,2556,22,2,1,3.99,0,0,1,3,34511068
New Gurgaon,Apartment,3,3,2408,17,2,3,13.65,1,0,1,1,38902754
DLF Phase 3,Apartment,2,3,1048,7,1,2,5.61,0,1,1,4,31879816
Palam Vihar,Apartment,2,3,1046,10,13,1,12.0,0,0,1,5,15909437
Sector 85,Apartment,3,4,1754,4,6,2,0.57,1,1,0,2,34741829
Sector 57,Apartment,2,2,1547,14,22,4,3.56,1,1,0,3,25583880
Golf Course Road,Apartment,2,3,709,14,17,0,5.25,0,0,1,2,37510778
South City 1,Builder Floor,5,5,2611,6,22,1,10.11,0,0,0,2,52505655
New Gurgaon,Apartment,4,4,2630,20,43,2,4.86,0,1,1,5,50913807
DLF Phase 1,Apartment,4,4,2565,17,6,2,0.72,0,0,0,1,49019225
New Gurgaon,Apartment,4,5,2160,11,3,1,2.69,0,1,1,5,41758096
Sector 56,Builder Floor,5,5,2823,11,6,3,3.96,1,1,1,1,60794032
Golf Course Road,Apartment,3,4,1939,3,17,2,2.72,1,0,1,4,61808894
South City 1,Apartment,2,3,1085,10,35,3,3.14,0,1,1,2,16567534
Sector 65,Apartment,4,4,1804,20,37,1,11.56,1,1,1,3,37017673
DLF Phase 4,Builder Floor,4,5,2296,5,35,3,6.24,1,0,1,2,58423410
Sector 67,Builder Floor,3,3,1879,20,23,1,6.14,0,0,1,5,33062217
Sector 84,Apartment,3,3,907,9,8,1,14.5,0,1,1,1,20123544
Sohna Road,Villa,3,4,1964,14,7,3,6.76,1,1,1,4,39200105
Sector 92,Builder Floor,5,5,3681,0,10,1,13.92,1,0,0,4,70061354
DLF Phase 3,Apartment,3,3,1649,16,26,3,4.56,0,0,1,1,41494311
Sector 65,Villa,5,5,2762,2,10,2,6.07,0,0,0,1,57506455
Golf Course Extension Road,Apartment,4,5,1986,24,19,4,6.0,1,0,1,1,49574441
Sector 65,Apartment,3,4,1735,10,23,2,8.24,1,0,1,4,37301521
DLF Phase 2,Apartment,3,4,1565,17,31,3,8.81,1,0,1,2,26456842
Sector 70,Apartment,3,3,2407,9,33,0,3.8,1,1,0,2,39254157
Palam Vihar,Apartment,1,1,617,20,2,2,11.92,0,1,1,4,10991237
South City 1,Villa,2,3,598,8,28,2,7.5,0,1,1,3,11204923
DLF Phase 5,Apartment,4,5,2719,6,32,3,0.2,1,1,0,5,74467991
Sector 57,Apartment,3,4,2522,10,33,1,8.91,1,0,1,4,46263352
New Gurgaon,Apartment,2,3,1342,7,9,2,11.99,0,0,1,3,27420473
Sector 54,Villa,2,3,1533,1,29,2,3.83,1,1,1,5,33368126
DLF Phase 5,Apartment,5,5,3474,4,15,1,0.66,1,1,1,2,87664888
DLF Phase 3,Apartment,3,4,2216,8,18,2,12.13,0,1,0,1,52508788
Sector 84,Apartment,4,4,2927,0,18,3,14.65,1,0,1,5,55056313
DLF Phase 2,Apartment,2,2,1467,16,7,1,1.24,1,1,1,1,26518100
DLF Phase 1,Penthouse,3,3,1933,9,14,2,14.08,1,0,1,3,38553609
Golf Course Extension Road,Penthouse,1,1,450,7,29,4,5.45,1,0,1,4,28130946
Sector 70,Apartment,3,4,1342,17,19,0,14.13,0,0,1,4,24259708
DLF Phase 5,Villa,3,3,1350,24,5,2,9.77,1,1,1,1,46914660
Sector 89,Builder Floor,2,3,492,9,41,2,13.36,1,0,1,5,12065813
Sector 54,Villa,3,3,1617,8,5,3,11.81,0,1,0,5,30335671
South City 1,Apartment,3,4,2394,3,15,2,0.52,1,1,1,3,48188495
DLF Phase 2,Apartment,3,4,1196,1,26,2,1.08,0,1,1,4,31151839
Sohna Road,Apartment,4,4,2807,18,24,1,7.93,0,1,1,1,51373766
Sector 57,Builder Floor,2,3,1348,9,19,2,2.03,1,0,1,2,26912413
DLF Phase 3,Apartment,3,3,1896,16,20,3,6.97,0,1,0,4,45476737
DLF Phase 2,Apartment,5,6,3827,2,43,1,14.32,1,1,0,4,65992153
Golf Course Extension Road,Apartment,4,4,2376,20,9,0,4.49,1,0,1,3,56369527
DLF Phase 5,Builder Floor,5,5,4065,18,28,3,7.38,0,1,1,4,94179285
New Gurgaon,Apartment,3,4,1716,18,16,2,5.83,1,0,0,3,35848752
DLF Phase 5,Builder Floor,4,5,2592,21,11,2,9.48,1,0,0,3,63001488
Sector 92,Penthouse,3,3,1740,18,34,3,2.99,1,1,1,2,35607066
Sector 67,Apartment,2,2,941,18,25,3,3.97,1,1,0,5,20966084
New Gurgaon,Builder Floor,4,5,1645,14,40,4,12.9,1,0,0,4,39364874
Sector 92,Apartment,3,3,2041,24,21,3,12.19,0,1,0,3,37521095
Golf Course Road,Villa,2,2,1577,17,5,2,11.86,0,0,1,3,48847522
Sector 92,Apartment,2,2,1268,16,11,3,11.59,1,1,1,5,25712432
Sector 85,Builder Floor,4,5,2687,9,43,2,6.95,0,1,1,5,49183694
DLF Phase 2,Builder Floor,2,2,764,23,9,3,10.96,1,1,1,3,15869585
Golf Course Road,Villa,2,2,1307,13,11,3,5.87,1,1,1,4,53545774
Sector 57,Builder Floor,3,4,926,18,37,1,1.6,0,1,0,4,21762741
DLF Phase 3,Apartment,2,2,865,22,41,1,5.96,0,1,1,4,25297916
DLF Phase 1,Apartment,4,4,3147,17,1,1,2.46,0,1,1,5,60525557
DLF Phase 1,Villa,3,3,1805,10,26,3,5.92,1,0,0,4,33753563
Sector 89,Apartment,3,3,1844,10,10,3,4.53,1,0,1,4,33347740
DLF Phase 5,Apartment,5,6,3387,11,40,2,9.03,0,1,0,4,85409393
Sector 67,Villa,3,3,2135,7,19,2,5.49,0,1,1,5,39033909
Sector 89,Builder Floor,3,3,1686,15,16,3,10.61,1,1,1,1,31629786
Sector 65,Builder Floor,4,4,2564,24,37,1,7.73,0,1,1,1,44614677
Sector 83,Apartment,3,3,1770,23,41,1,13.8,1,1,1,4,37244209
Sector 89,Builder Floor,2,2,771,7,4,2,1.46,1,1,1,1,12172605
DLF Phase 3,Apartment,4,5,2201,23,14,3,10.35,0,0,1,4,52843010
Sector 65,Builder Floor,4,5,2631,13,30,3,10.12,1,0,1,5,45896013
DLF Phase 5,Apartment,4,4,2184,22,7,1,14.26,1,0,0,4,60467751
DLF Phase 2,Builder Floor,5,5,2736,17,12,1,5.64,0,1,1,2,50572657
Palam Vihar,Penthouse,4,5,2838,23,24,2,4.65,0,0,0,3,49458077
Golf Course Extension Road,Apartment,4,5,2490,20,39,3,2.67,1,1,0,5,59347210
Sector 67,Penthouse,4,5,2597,21,43,2,4.05,1,0,1,2,48397386
Sector 82,Apartment,1,1,450,3,22,2,7.58,0,0,1,2,6339926
Palam Vihar,Villa,3,3,1988,16,30,1,12.58,0,1,1,3,38095012
DLF Phase 3,Builder Floor,4,4,1779,12,39,3,4.34,0,0,1,2,44623019
New Gurgaon,Apartment,3,3,1789,4,20,1,2.45,0,1,1,3,34244236
Sector 92,Builder Floor,2,2,902,2,26,1,4.15,1,1,1,4,17738281
DLF Phase 5,Villa,2,2,1461,8,5,3,1.6,0,1,1,5,49703607
Sohna Road,Apartment,2,3,1712,19,40,4,13.91,1,1,1,5,29584251
Palam Vihar,Apartment,3,4,1738,17,42,2,13.1,0,1,1,5,37054766
DLF Phase 1,Builder Floor,4,4,2312,19,6,2,4.7,1,0,0,3,34090921
Sohna Road,Builder Floor,5,5,3721,18,34,1,3.78,1,1,1,3,70050415
Sector 85,Builder Floor,4,4,2720,18,5,0,13.59,1,0,0,2,43312302
Sector 92,Builder Floor,4,5,2360,20,10,1,0.13,0,0,1,5,43067094
Sector 83,Apartment,3,4,1954,15,28,2,9.05,0,0,1,2,35194650
Sector 85,Builder Floor,3,4,2652,0,3,1,13.75,0,1,1,4,49381885
Sector 92,Apartment,3,4,1517,4,13,3,7.68,1,1,1,2,40730012
Sector 65,Apartment,3,3,1553,23,2,1,0.14,0,1,1,5,28088663
Sector 67,Apartment,2,3,1422,14,35,2,3.36,0,0,0,3,23614314
Sector 67,Apartment,3,4,2687,11,28,2,13.84,1,0,0,2,43834167
Sector 56,Apartment,3,3,1874,24,37,2,0.35,0,1,0,2,32676097
Golf Course Extension Road,Apartment,3,3,1081,0,23,1,5.98,1,1,0,3,40476998
Sector 70,Builder Floor,5,5,3273,13,43,3,11.87,1,0,1,3,60611356
Sector 83,Apartment,3,4,1579,17,23,2,12.59,1,0,1,5,35269912
Sector 82,Apartment,2,2,1333,17,35,2,7.22,1,1,1,4,28753590
Sector 65,Apartment,3,4,1229,5,41,2,3.56,0,0,1,5,29930187
Sector 57,Apartment,3,4,1180,0,39,1,9.04,0,1,0,2,24849942
Sohna Road,Apartment,2,3,1116,16,32,2,4.03,0,1,0,5,16453105
Sector 85,Apartment,2,3,1662,17,2,2,3.9,0,0,1,5,29276213
South City 1,Apartment,3,3,1223,14,44,3,12.13,0,0,1,3,21868414
Sector 85,Builder Floor,5,5,2775,11,16,3,2.4,1,1,0,4,55279344
Sector 67,Apartment,3,4,1185,12,16,1,0.18,0,0,1,4,25320366
Sector 85,Apartment,4,4,2562,19,3,1,5.12,0,0,1,5,45691454
Sector 82,Apartment,4,5,2524,1,28,1,7.42,1,1,1,3,49734491
DLF Phase 4,Villa,2,3,801,3,29,4,10.61,0,1,0,3,27792291
Sector 84,Apartment,3,3,2340,2,20,0,11.74,1,1,1,2,40731834
DLF Phase 5,Apartment,3,3,992,18,36,2,9.99,0,1,1,1,42223600
Palam Vihar,Apartment,2,3,1641,24,33,2,9.43,1,1,1,2,30862682
Sector 83,Apartment,3,3,2377,7,22,2,10.02,1,0,1,2,42323401
Sector 57,Apartment,4,5,2571,11,8,1,4.15,1,1,1,2,44414496
Sector 56,Apartment,2,2,1450,11,24,1,5.8,0,1,1,1,24791079
Sector 85,Apartment,4,5,2300,9,37,2,9.28,1,0,1,3,43139809
Sector 84,Apartment,4,5,1537,24,20,1,1.08,0,0,1,3,32611291
Sector 85,Apartment,5,5,3165,0,12,1,4.5,1,1,1,4,62646901
Golf Course Extension Road,Builder Floor,2,2,760,4,20,1,6.16,1,1,1,4,31534261
DLF Phase 4,Builder Floor,5,6,2992,19,20,2,8.05,1,1,0,5,67843286
DLF Phase 5,Builder Floor,3,3,1280,10,4,1,7.35,1,1,1,5,39943152
South City 1,Villa,1,1,736,8,30,1,10.8,0,1,0,5,11248151
Sector 83,Apartment,4,5,2612,13,31,1,7.15,1,1,1,4,46533815
DLF Phase 3,Apartment,3,4,2084,2,22,1,13.57,1,1,1,4,50171346
Sector 85,Apartment,3,3,1942,4,15,2,5.77,0,1,1,2,37359221
South City 1,Builder Floor,3,3,2589,23,38,1,7.93,1,1,1,3,40398098
New Gurgaon,Villa,1,2,743,20,37,2,0.15,1,1,1,4,15596057
Sector 70,Apartment,3,4,2515,8,28,1,4.73,1,1,0,1,47420978
Sector 82,Villa,3,4,1421,17,11,3,13.01,1,0,1,2,32304824
Sector 84,Apartment,3,4,1572,5,14,1,5.07,0,1,0,1,27927790
DLF Phase 1,Villa,3,4,782,20,11,3,3.87,0,0,1,1,17880621
New Gurgaon,Apartment,5,6,2725,24,9,3,8.2,0,1,0,3,49735964
Sector 84,Apartment,3,4,1785,6,24,2,1.27,1,0,1,1,41551029
South City 1,Apartment,4,5,2643,15,10,3,8.02,1,1,1,1,44255267
Sector 54,Apartment,5,5,2628,7,38,1,4.62,1,1,1,1,54891244
Sector 84,Apartment,3,3,2109,22,43,1,5.81,1,1,0,1,35473156
Sector 70,Apartment,1,1,693,9,41,1,11.89,0,1,1,2,8321824
Sector 92,Builder Floor,1,2,533,4,37,1,9.96,1,1,1,2,10776020
Sector 89,Apartment,3,3,1397,10,42,1,6.75,1,1,1,3,29511738
New Gurgaon,Apartment,2,3,1218,20,32,2,8.7,1,0,0,3,15927088
Golf Course Extension Road,Apartment,3,3,1841,12,20,0,11.53,1,0,1,1,43990604
Sector 67,Builder Floor,2,3,1029,19,14,1,11.21,1,0,1,5,18248796
Sector 85,Apartment,2,3,1127,1,38,1,2.86,1,1,0,1,18971623
South City 1,Apartment,3,3,1204,13,4,2,4.58,1,0,1,1,27743389
Sector 70,Apartment,5,6,3474,8,24,4,5.29,1,1,1,3,63617309
DLF Phase 1,Apartment,3,3,2091,9,32,2,2.89,1,1,0,4,43620500
Golf Course Extension Road,Builder Floor,5,5,3034,9,10,2,0.28,1,1,1,3,70093820
Sohna Road,Apartment,5,5,3535,9,43,1,2.69,0,0,1,2,58365102
Sector 85,Apartment,2,2,1236,18,16,3,12.14,1,0,1,3,26184966
Sector 57,Builder Floor,2,2,1652,10,39,1,8.23,0,0,0,4,24230076
DLF Phase 1,Apartment,4,4,1674,10,32,4,5.19,0,1,1,1,33869597
Palam Vihar,Apartment,4,4,2513,2,18,2,9.16,0,0,0,4,45152341
Sector 84,Apartment,3,3,2179,18,25,1,11.12,0,1,1,3,35974373
Sector 89,Penthouse,5,5,4044,23,7,4,5.38,0,1,1,5,72477036
Golf Course Road,Apartment,1,2,710,21,18,3,7.04,1,0,1,2,37565913
DLF Phase 3,Builder Floor,2,3,909,0,18,2,1.06,1,0,1,4,25929559
DLF Phase 5,Apartment,3,3,1104,11,3,0,9.0,0,1,1,3,40514149
DLF Phase 2,Apartment,3,4,1728,14,1,2,5.41,1,0,1,1,36268158
Sector 92,Builder Floor,2,3,1301,13,33,1,6.56,0,1,0,3,23850217
DLF Phase 4,Villa,3,3,2196,2,7,1,6.4,0,1,0,1,55844101
Sector 56,Apartment,1,1,450,19,10,1,9.52,1,0,1,5,10878553
Sector 56,Builder Floor,3,4,2056,12,44,2,8.63,1,1,1,2,33878755
New Gurgaon,Villa,4,4,900,17,8,2,6.39,0,0,1,4,23322311
Sector 54,Apartment,4,4,1985,15,32,1,0.35,0,0,1,3,41821264
Sector 83,Apartment,3,3,2161,5,23,3,9.35,0,1,1,3,41440278
Sector 84,Apartment,3,4,1299,9,17,1,13.21,1,0,1,4,24912493
Sector 83,Apartment,3,3,1336,16,14,1,11.57,0,0,0,1,18617994
Golf Course Extension Road,Builder Floor,2,3,1052,16,17,2,14.73,1,1,1,2,32333246
Sector 83,Villa,3,3,1874,7,25,3,2.17,1,0,1,5,35838304
DLF Phase 3,Apartment,2,2,887,3,21,4,3.42,1,0,1,4,32609273
Sector 83,Apartment,4,5,2381,14,6,3,8.14,1,1,1,2,43710105
Sohna Road,Builder Floor,4,4,2157,0,20,1,3.61,1,0,1,3,48214454
Sector 65,Apartment,3,4,2286,6,20,4,0.61,1,1,1,2,47797955
DLF Phase 3,Builder Floor,4,5,2129,24,26,3,6.09,1,1,1,5,48397186
Sector 84,Apartment,2,2,1207,9,32,1,4.39,0,1,1,2,27902129
New Gurgaon,Builder Floor,3,3,1869,6,8,2,4.03,1,0,1,3,32467875
Sector 85,Apartment,3,4,1623,0,44,2,14.3,0,1,1,5,34729171
Sector 54,Builder Floor,3,4,2123,16,29,2,3.65,1,0,1,5,39184255
DLF Phase 4,Apartment,2,2,1473,11,17,4,2.03,0,1,0,5,42712050
Sector 83,Apartment,4,4,2126,16,18,1,1.97,0,1,1,3,44861029
Sector 84,Apartment,4,4,2564,14,40,2,12.11,0,0,0,1,46173662
Sector 57,Builder Floor,4,4,1880,23,18,1,10.75,1,0,0,3,31299658
Golf Course Road,Villa,4,4,2715,15,11,2,2.03,0,0,1,1,69885235
Sector 92,Apartment,5,6,3162,22,12,3,3.37,0,1,1,1,60442467
DLF Phase 2,Apartment,2,3,1098,13,15,1,11.24,0,1,1,3,23641930
Sector 57,Apartment,2,3,1292,2,26,1,4.19,0,1,0,2,27847478
New Gurgaon,Builder Floor,2,3,1365,18,3,4,14.72,1,1,0,3,23444850
Golf Course Road,Apartment,2,2,1544,11,3,3,8.15,1,0,1,5,49265569
DLF Phase 3,Apartment,3,4,1966,18,38,2,2.96,0,0,1,2,52055973
Sector 92,Apartment,3,3,2173,17,35,1,12.9,1,1,1,4,41009659
Golf Course Road,Apartment,3,3,2600,13,9,2,4.86,1,1,1,4,68220657
Golf Course Extension Road,Apartment,2,2,910,19,43,3,4.4,1,0,1,4,30545541
DLF Phase 1,Apartment,4,4,3055,22,40,3,4.98,1,1,1,5,52316163
South City 1,Penthouse,1,1,476,8,4,1,11.55,0,0,1,5,7533065
DLF Phase 1,Apartment,3,4,1500,2,20,2,2.68,1,0,0,1,29792559
DLF Phase 5,Builder Floor,3,3,1795,22,15,1,5.79,1,1,0,5,50019179
Golf Course Road,Apartment,4,4,2038,11,29,0,0.56,1,0,0,1,65401972
Sector 67,Apartment,3,3,1458,19,5,2,12.42,1,0,0,4,23113760
DLF Phase 2,Builder Floor,1,2,591,16,39,1,5.18,0,1,0,3,9869836
Sector 82,Builder Floor,3,3,1660,4,40,1,3.8,0,1,1,3,30536639
Sector 82,Penthouse,2,2,1013,7,7,2,8.74,1,0,1,5,21550414
Sector 67,Apartment,2,2,933,18,8,2,10.6,0,0,1,4,20853588
Sector 70,Apartment,3,4,2398,3,32,3,12.21,1,1,1,4,46992324
Palam Vihar,Builder Floor,2,2,863,14,36,2,5.28,1,0,1,1,17921982
Golf Course Extension Road,Apartment,3,4,1729,18,33,2,12.2,1,0,1,1,46435511
Sector 70,Apartment,3,4,2269,14,37,1,7.03,0,0,1,4,43176889
Sector 56,Apartment,5,5,3566,13,32,1,1.61,0,0,1,5,64356174
Sector 84,Apartment,5,6,3163,15,43,2,12.71,0,1,1,5,53898012
Sector 70,Villa,3,4,1538,23,36,1,8.26,0,1,1,4,32486732
Sohna Road,Apartment,2,2,1194,9,34,3,9.08,0,1,1,3,19241232
DLF Phase 4,Apartment,2,2,885,23,25,2,14.07,0,1,1,3,26640388
Sector 83,Apartment,2,2,1120,13,44,1,8.43,0,1,1,1,19352610
Sector 67,Apartment,3,3,1673,19,32,2,0.18,0,0,1,4,30318449
Palam Vihar,Apartment,3,4,1714,10,2,3,13.07,1,1,1,3,30025261
Sector 92,Apartment,3,4,1469,1,9,1,4.34,1,1,1,5,32468997
Sector 85,Apartment,3,3,1087,18,38,1,7.58,0,0,1,2,20697063
Sector 70,Builder Floor,2,2,1550,2,29,3,3.15,0,1,1,2,31179453
